Date,Horse,Age,Country,Race Name,Distance Furlongs,Surface,Notes
2010-01-30,River Jetez,6,SA,J&B Met,9,Turf,
2010-01-31,Casablanca Smile,3,CHI,El Derby,12,Turf,
2010-02-06,Typhoon Tracy,4,AUS,Orr Stakes,7,Turf,
2010-02-07,Jacqueline,4,IN,Indian Derby,12,Turf,
2010-02-13,Veloce Bella,6,NZ,International,10,Turf,
2010-02-27,Typhoon Tracy,4,AUS,Futurity Stakes,8,Turf,
2010-03-06,Proviso,5,US,Frank Kilroe Mile,8,Turf,
2010-03-13,Banchee,2,NZ,Diamond Stakes,6,Turf,
2010-03-27,Dar Re Mi,5,UAE,Dubai Sheema Classic,12,Turf,
2010-04-03,Crystal Lily,2,AUS,Golden Slipper Stakes,6,Turf,
2010-04-10,Melito,3,AUS,TJ Smith Stakes,6,Turf,
2010-04-10,Yosei,2,AUS,"Sires’ Produce Stakes,",7,Turf,
2010-04-17,Ortensia,4,AUS,Galaxy Stakes,5.5,Turf,Later disqualified - positive swab
2010-04-24,Jessicabeel,4,AUS,Sydney Cup,16,Turf,
2010-04-24,Hot Danish,6,AUS,All-Aged Stakes,7,Turf,
2010-05-01,Noble Heir,4,SAF,Sprint,5,Turf,
2010-05-01,Belle Watling,4,CHI,Gran Premio Hipodromo Chile,11,Dirt,
2010-05-02,Velocitea,4,AUS,Goodwood Stakes,6,Turf,
2010-05-23,Goldikova,5,FR,Prix d'Ispahan,9,Turf,
2010-05-29,Hot Danish,6,AUS,Doomben 10000,7,Turf,
2010-06-12,Dariana,3,AUS,Queensland Derby,12,Turf,
2010-06-15,Goldikova,5,ENG,Queen Anne Stakes,8,Turf,
2010-06-27,Desejada Duda,2,BRZ,Jockey Club Brasileiro-Vale do Itajara,8,Turf,
2010-06-27,Plumania,4,FR,Grand Prix de Saint-Cloud,12,Turf,
2010-07-04,Shamal Sally,3,HUN,Magyar Derby,12,Turf,
2010-07-25,Lady Jane Digby,5,GER,Grosser Dallmayr-Preis Bayerisches Zuchtrennen,10,Turf,
2010-08-28,Keep the Peace,4,NZ,Mudgway Stakes,7,Turf,
2010-09-05,Night Magic,4,GER,Grosser Preis von Baden,12,Turf,
2010-09-17,Belle Watling,4,CHI,Gran Premio Latinoamericano,10,Turf,
2010-09-18,Response,4,AUS,Sir Rupert Clarke,7,Turf,
2010-09-25,More Joyous,4,AUS,Stan Fox Stakes,8,Turf,
2010-10-03,Goldikova,5,FR,Prix de la Foret,7,Turf,
2010-10-03,Gilt Edge Girl,4,FR,Prix de l’Abbaye de Longchamp,5,Turf,
2010-10-09,More Joyous,4,AUS,Toorak Handicap,8,Turf,
2010-10-16,Serious Attitude,4,CAN,Nearctic Stakes,6,Turf,
2010-10-31,Buena Vista,4,JPN,Tenno Sho,10,Turf,
2010-11-06,Goldikova,5,US,Breeders' Cup Mile,8,Turf,
2010-11-06,Black Caviar,5,AUS,Patinack Farm Classic,6,Turf,
2010-11-26,We Can Say It Now,3,NZ,Levin Classic,8,Turf,
2010-11-27,Flirtation,4,SAF,Summer Cup,10,Turf,
2010-12-04,We Can Say It Now,3,NZ,Captain Cook Stakes,8,Turf,
2010-12-12,Snow Fairy,3,HK,Hong Kong Cup,10,Turf,
2011-01-01,Miss Raggedy Ann,5,NZ,Railway Stakes,6,Turf,
2011-01-08,Mother Russia,5,SAF,Queen's Plate,8,Turf,
2011-01-09,Xisca,4,IND,Calcutta Derby,8,Turf,
2011-02-06,Moonlight Romance,4,IND,Indian Derby,8,Turf,
2011-02-12,Typhoon Tracy,5,AUS,C.F. Orr Stakes,7,Turf,
2011-02-19,Black Caviar,4,AUS,Lightning Stakes,5,Turf,
2011-02-26,Keep The Peace,4,NZ,Otaki-Maori WFA Classic,8,Turf,
2011-02-26,More Joyous,4,AUS,Futurity Stakes,7,Turf,
2011-03-05,Shamrocker,3,AUS,Australian Guineas,8,Turf,
2011-03-06,Moonlight Romance,4,IND,Indian Turf Invitation Cup,12,Turf,
2011-03-12,Black Caviar,4,AUS,Newmarket Handicap,6,Turf,
2011-03-12,The Party Stand,4,NZ,New Zealand Stakes,10,Turf,
2011-03-12,Anabandana,2,NZ,Diamond Stakes,6,Turf,
2011-03-25,Black Caviar,4,AUS,William Reid Stakes,6,Turf,
2011-04-02,Anabandana,2,NZ,Manawatu Sires Produce Stakes,7,Turf,
2011-04-02,Dreamaway,3,AUS,WATC Derby,12,Turf,
2011-04-09,Shamrocker,3,AUS,AJC Australian Derby,12,Turf,
2011-04-09,Black Caviar,4,AUS,TJ Smith Stakes,6,Turf,
2011-04-16,Sacred Choice,5,AUS,Doncaster Mile,8,Turf,
2011-05-02,Sembra Fe,3,ARG,Gran Premio Ciudad de Buenos Aires,5,Dirt,
2011-05-08,Lone Rock,3,AUS,Goodwood Stakes,6,Turf,
2011-05-14,Black Caviar,4,AUS,BTC Cup,6,Turf,
2011-05-22,Goldikova,6,FR,Prix D’Ispahan,9,Turf,
2011-05-28,Beaded,5,AUS,Doomben 10000,6.5,Turf,
2011-06-13,Dancewiththedevil,4,SAF,Rising Sun Gold Challenge,8,Turf,
2011-06-26,Sarafina,4,FR,Grand Prix de Saint-Cloud,12,Turf,
2011-07-02,Igugu,3,SAF,Vodacom Durban July,11,Turf,
2011-07-24,Danedream,3,GER,Grosser Preis Von Berlin,12,Turf,
2011-08-07,La Collina,2,IRE,Phoenix Stakes,6,Turf,
2011-08-07,Moonlight Cloud,3,FR,Prix Maurice de Gheest-Goldikova,6.5,Turf,
2011-08-15,Immortal Verse,3,FR,Prix Jacques Le Marois,8,Turf,
2011-08-19,Margot Did,3,ENG,Nunthorpe Stakes,5,Turf,
2011-09-03,Havre de Grace,4,US,Woodward,9,Dirt,
