trainer_name,sprint_starts,wins,sprint_strike,expected_wins,expected_strike,break_on_top,break_on_top_strike,break_on_top_and_won,break_on_top_and_won_strike,break_on_top_expected_wins,break_on_top_and_won_expected_strike,break_last,break_last_strike,break_last_and_won,break_last_and_won_strike,break_last_expected_wins,break_last_and_won_expected_strike
Steven M. Asmussen,744,141,0.189516129,135.7123628,0.182795699,108,0.14516129,38,0.051075269,24.18959824,0.032258065,69,0.092741935,4,0.005376344,10.91946085,0.014784946
Wesley A. Ward,351,120,0.341880342,99.96069972,0.284900285,70,0.199430199,36,0.102564103,22.51203644,0.065527066,21,0.05982906,3,0.008547009,5.812749771,0.017094017
Todd A. Pletcher,480,127,0.264583333,118.4285978,0.245833333,39,0.08125,13,0.027083333,10.20300374,0.020833333,76,0.158333333,11,0.022916667,18.05504408,0.0375
Mark E. Casse,489,85,0.173824131,86.71957129,0.17791411,33,0.067484663,13,0.026584867,7.908503779,0.016359918,77,0.157464213,2,0.00408998,11.06329893,0.022494888
Bob Baffert,237,86,0.362869198,73.43989214,0.308016878,29,0.122362869,17,0.071729958,11.92048777,0.050632911,26,0.109704641,4,0.016877637,7.955294382,0.033755274
Doug F. O'Neill,253,31,0.122529644,36.25414242,0.14229249,28,0.110671937,8,0.031620553,4.672425144,0.019762846,26,0.102766798,1,0.003952569,2.661476233,0.011857708
Brad H. Cox,367,60,0.163487738,82.59933716,0.226158038,26,0.070844687,8,0.021798365,6.662320062,0.019073569,47,0.128065395,4,0.010899183,10.32285037,0.027247956
Larry Rivelli,124,40,0.322580645,34.15362139,0.274193548,26,0.209677419,13,0.10483871,8.479800747,0.064516129,7,0.056451613,2,0.016129032,1.272523606,0.008064516
Chad C. Brown,296,58,0.195945946,67.37666805,0.226351351,22,0.074324324,8,0.027027027,6.091676928,0.02027027,53,0.179054054,6,0.02027027,12.08610462,0.040540541
Ralph E. Nicks,209,36,0.172248804,31.46006369,0.148325359,20,0.09569378,9,0.043062201,4.718507604,0.023923445,32,0.153110048,4,0.019138756,4.309772536,0.019138756
