race_date,race_no,race_country,dividends,last_updated
2016-09-28,7,HK,"{""tierce"": [{""combination"": [10, 2, 9], ""dividend"": 8985.0}], ""quartet"": [{""combination"": [10, 2, 9, 1], ""dividend"": 37829.0}], ""quinella"": [{""combination"": [2, 10], ""dividend"": 719.0}], ""null"": [], ""win"": [{""combination"": [10], ""dividend"": 478.5}], ""pla"": [{""combination"": [10], ""dividend"": 95.5}, {""combination"": [2], ""dividend"": 12.5}, {""combination"": [9], ""dividend"": 17.5}], ""qpl"": [{""combination"": [2, 10], ""dividend"": 206.0}, {""combination"": [9, 10], ""dividend"": 204.0}, {""combination"": [2, 9], ""dividend"": 28.0}]}",2016-09-29 00:12:03.998689
2016-09-28,8,HK,"{""tierce"": [{""combination"": [5, 8, 4], ""dividend"": 2445.0}], ""quartet"": [{""combination"": [5, 8, 4, 7], ""dividend"": 32145.0}], ""quinella"": [{""combination"": [5, 8], ""dividend"": 67.0}], ""null"": [], ""win"": [{""combination"": [5], ""dividend"": 44.0}], ""pla"": [{""combination"": [5], ""dividend"": 15.0}, {""combination"": [8], ""dividend"": 15.0}, {""combination"": [4], ""dividend"": 64.5}], ""qpl"": [{""combination"": [5, 8], ""dividend"": 29.5}, {""combination"": [4, 5], ""dividend"": 178.0}, {""combination"": [4, 8], ""dividend"": 143.0}]}",2016-09-29 00:12:48.783323
2016-09-28,1,HK,"{""tierce"": [{""combination"": [8, 5, 3], ""dividend"": 2338.0}], ""quartet"": [{""combination"": [8, 5, 3, 11], ""dividend"": 42004.0}], ""quinella"": [{""combination"": [5, 8], ""dividend"": 197.0}], ""null"": [], ""win"": [{""combination"": [8], ""dividend"": 61.5}], ""pla"": [{""combination"": [8], ""dividend"": 20.0}, {""combination"": [5], ""dividend"": 22.5}, {""combination"": [3], ""dividend"": 31.5}], ""qpl"": [{""combination"": [5, 8], ""dividend"": 63.0}, {""combination"": [3, 8], ""dividend"": 97.0}, {""combination"": [3, 5], ""dividend"": 100.0}]}",2016-09-29 00:13:30.727583
2016-09-28,2,HK,"{""tierce"": [{""combination"": [5, 9, 6], ""dividend"": 1788.0}], ""quartet"": [{""combination"": [5, 9, 6, 4], ""dividend"": 9995.0}], ""quinella"": [{""combination"": [5, 9], ""dividend"": 126.5}], ""null"": [], ""win"": [{""combination"": [5], ""dividend"": 42.0}], ""pla"": [{""combination"": [5], ""dividend"": 16.5}, {""combination"": [9], ""dividend"": 16.5}, {""combination"": [6], ""dividend"": 30.5}], ""qpl"": [{""combination"": [5, 9], ""dividend"": 51.0}, {""combination"": [5, 6], ""dividend"": 67.0}, {""combination"": [6, 9], ""dividend"": 113.0}]}",2016-09-29 00:14:17.615417
2016-09-28,3,HK,"{""tierce"": [{""combination"": [8, 5, 12], ""dividend"": 3499.0}], ""quartet"": [{""combination"": [8, 5, 12, 3], ""dividend"": 17563.0}], ""quinella"": [{""combination"": [5, 8], ""dividend"": 752.5}], ""null"": [], ""win"": [{""combination"": [8], ""dividend"": 107.5}], ""pla"": [{""combination"": [8], ""dividend"": 26.5}, {""combination"": [5], ""dividend"": 40.0}, {""combination"": [12], ""dividend"": 12.5}], ""qpl"": [{""combination"": [5, 8], ""dividend"": 156.5}, {""combination"": [8, 12], ""dividend"": 39.0}, {""combination"": [5, 12], ""dividend"": 59.0}]}",2016-09-29 00:15:00.552977
2016-09-28,4,HK,"{""tierce"": [{""combination"": [3, 1, 8], ""dividend"": 3971.0}], ""quartet"": [{""combination"": [3, 1, 8, 10], ""dividend"": 12851.0}], ""quinella"": [{""combination"": [1, 3], ""dividend"": 501.5}], ""null"": [], ""win"": [{""combination"": [3], ""dividend"": 83.5}], ""pla"": [{""combination"": [3], ""dividend"": 23.5}, {""combination"": [1], ""dividend"": 31.5}, {""combination"": [8], ""dividend"": 15.0}], ""qpl"": [{""combination"": [1, 3], ""dividend"": 138.0}, {""combination"": [3, 8], ""dividend"": 67.0}, {""combination"": [1, 8], ""dividend"": 69.0}]}",2016-09-29 00:15:46.531968
2016-09-28,5,HK,"{""tierce"": [{""combination"": [7, 5, 6], ""dividend"": 3630.0}], ""quartet"": [{""combination"": [7, 5, 6, 11], ""dividend"": 44094.0}], ""quinella"": [{""combination"": [5, 7], ""dividend"": 200.5}], ""null"": [], ""win"": [{""combination"": [7], ""dividend"": 70.5}], ""pla"": [{""combination"": [7], ""dividend"": 27.0}, {""combination"": [5], ""dividend"": 15.5}, {""combination"": [6], ""dividend"": 39.0}], ""qpl"": [{""combination"": [5, 7], ""dividend"": 79.5}, {""combination"": [6, 7], ""dividend"": 175.5}, {""combination"": [5, 6], ""dividend"": 93.0}]}",2016-09-29 00:16:39.335384
2016-09-28,6,HK,"{""tierce"": [{""combination"": [8, 1, 4], ""dividend"": 2888.0}], ""quartet"": [{""combination"": [8, 1, 4, 7], ""dividend"": 32064.0}], ""quinella"": [{""combination"": [1, 8], ""dividend"": 207.0}], ""null"": [], ""win"": [{""combination"": [8], ""dividend"": 56.0}], ""pla"": [{""combination"": [8], ""dividend"": 17.5}, {""combination"": [1], ""dividend"": 20.0}, {""combination"": [4], ""dividend"": 26.0}], ""qpl"": [{""combination"": [1, 8], ""dividend"": 73.0}, {""combination"": [4, 8], ""dividend"": 78.0}, {""combination"": [1, 4], ""dividend"": 87.5}]}",2016-09-29 00:17:10.097932
2016-10-01,1,HK,"{""quinella"": [{""combination"": [2, 7], ""dividend"": 98.5}], ""quartet"": [{""combination"": [2, 7, 3, 9], ""dividend"": 44335.0}], ""null"": [], ""qpl"": [{""combination"": [2, 7], ""dividend"": 48.0}, {""combination"": [2, 3], ""dividend"": 97.5}, {""combination"": [3, 7], ""dividend"": 316.5}], ""tierce"": [{""combination"": [2, 7, 3], ""dividend"": 2368.0}], ""pla"": [{""combination"": [2], ""dividend"": 13.0}, {""combination"": [7], ""dividend"": 27.5}, {""combination"": [3], ""dividend"": 60.5}], ""win"": [{""combination"": [2], ""dividend"": 21.0}]}",2016-10-02 00:13:26.312319
2016-10-01,2,HK,"{""quinella"": [{""combination"": [1, 5], ""dividend"": 152.0}], ""quartet"": [{""combination"": [1, 5, 8, 6], ""dividend"": 4139.0}], ""null"": [], ""qpl"": [{""combination"": [1, 5], ""dividend"": 59.0}, {""combination"": [1, 8], ""dividend"": 38.5}, {""combination"": [5, 8], ""dividend"": 95.0}], ""tierce"": [{""combination"": [1, 5, 8], ""dividend"": 1301.0}], ""pla"": [{""combination"": [1], ""dividend"": 14.0}, {""combination"": [5], ""dividend"": 31.5}, {""combination"": [8], ""dividend"": 18.0}], ""win"": [{""combination"": [1], ""dividend"": 37.0}]}",2016-10-02 00:14:07.437954
