race_date,race_no,race_location,race_country,race_id,race_time,track,race_class,course,going,distance,rating,horse_list,results_available,last_updated
2016-09-25 00:00:00.000000,4,S,SG,,14:15,Turf,CLASS 3,D (LC),GOOD,1200,,"43798,44161,43482,42155,43772,42454,43477,42585,43695,44025,42191",1,2016-09-26 10:04:30.833743
2016-09-25 00:00:00.000000,5,S,SG,,14:45,Poly,CLASS 5,,GOOD,1200,,"43392,43994,42929,42701,43471,43792,41271,43748,41550,43825,41890,42628",1,2016-09-26 10:04:36.276196
2016-09-25 00:00:00.000000,6,S,SG,,15:15,Turf,CLASS 4,D (LC),GOOD,1800,,"42614,42693,44278,43727,42169,42828,43967,43729,43715,44233,41697,44140",1,2016-09-26 10:04:41.648359
2016-09-25 00:00:00.000000,7,S,SG,,15:45,Poly,KRANJI STAKES D (SET WEIGHTS),,GOOD,1600,,"42914,44307,43698,43776,40820,43745,43607,43788,42179,43078,41764,42195",1,2016-09-26 10:04:47.494282
2016-09-25 00:00:00.000000,8,S,SG,,16:20,Turf,CLASS 5 (2),D (LC),GOOD,1400,,"43856,42804,43769,43579,38857,43605,43237,42749,43853,40969,42556,40766",1,2016-09-26 10:04:54.337087
2016-09-25 00:00:00.000000,9,S,SG,,16:55,Turf,KRANJI STAKES A (SET WEIGHTS),D (LC),GOOD,1400,,"42074,42887,42616,42492,43657,43151,43520,43182,42300,41991,43154,40211",1,2016-09-26 10:07:54.191128
2016-09-25 00:00:00.000000,10,S,SG,,17:30,Poly,OPEN BENCHMARK 67,,GOOD,1200,,"43140,43630,44169,43895,43519,42390,42500,43861,43485,43376,43383",1,2016-09-26 10:10:20.075407
2016-09-25 00:00:00.000000,11,S,SG,,18:00,Turf,CLASS 4,D (LC),GOOD,1200,,"43765,42867,44162,43193,44042,44135,43833,44002,43039,43831,43487,42632",1,2016-09-26 10:12:47.176495
2016-09-28 00:00:00.000000,7,HV,HK,,22:15,Turf,3,C+3,Good,1200,80-60,"T196,T262,T402,V151,T256,V182,P287,V362,T324,V043,N193,T024,S279",1,2016-09-29 00:12:03.918961
2016-09-28 00:00:00.000000,8,HV,HK,,22:50,Turf,2,C+3,Good,1650,100-80,"T375,T188,P158,S199,S083,V133,S242,S015,T098,T163,P238,T342",1,2016-09-29 00:12:48.714088
