horse_id,horse_name,secretariat,seattle_slew,affirmed,american_pharoah,mr._prospector
2819,A Bridge too Far,0,0,0,0,1
4524,A Different Style,0,0,0,0,1
2131,A Dixie Twister,0,1,0,0,0
1973,A Freud of Mama,1,0,0,0,1
3224,A I Initiative,1,1,0,0,0
2724,A J Rock,1,0,0,0,1
2071,A Little Faith,0,0,0,0,1
3635,A Thread of Blue,0,1,0,0,1
4384,A d'Oro,1,1,0,0,0
1915,Aasr,0,0,1,0,0
784,Abby Normal,1,0,0,0,1
1896,Abiding Star,0,0,0,0,0
3645,Abilene Trail,0,0,0,0,1
3476,Able to Smile,0,1,1,0,1
1501,Abounding Joy,1,1,0,0,1
2927,Aboutthebenjamins,0,0,0,0,1
731,Abraxan,1,0,0,0,1
3653,Abrupt,0,0,0,0,1
960,Absatootly,1,1,0,0,1
4468,Abscond,1,0,0,0,1
2359,Absentee,1,0,0,0,1
4020,Abyssinian,0,1,0,0,1
4036,Accabonac Harbor,1,1,0,0,1
1351,Achilles Warrior,0,0,0,0,1
4237,Acre,0,0,0,0,1
4589,Acting Chipper,0,0,0,0,1
3102,Adhafera,0,0,0,0,1
1449,Adios Amigos,1,0,0,0,1
1184,Adirondack Dream,0,0,0,0,1
89,Admiral Blue,0,1,0,0,1
3484,Admiral Lynch,1,1,0,0,1
803,Admire,1,0,0,0,0
4366,Adonis Creed,1,1,0,0,1
2123,Adorable Maya,1,1,0,0,1
1543,Adorable Song,1,1,0,0,1
3815,Adriatic Holiday,1,0,0,0,1
740,Adulation,1,1,0,0,1
2599,Advanced Strategy,1,0,1,0,1
2796,Adventist,1,1,0,0,1
2035,Afleet Brody,0,0,0,0,1
842,Afleet Destiny,0,0,0,0,1
2743,Afleet Mickey,0,0,0,0,1
4507,African Heritage,1,0,1,0,0
2091,After Prom Party,0,1,0,0,1
4110,After You,1,1,0,0,1
3141,Aggravation,1,1,0,0,1
3258,Ahead of Plan,0,0,0,0,0
502,Aikenetta,1,0,0,0,1
2273,Ailish,0,1,0,0,1
4096,Ain't None Lucky,0,1,0,0,1
2163,Aintitfunkynow,0,0,0,0,0
2562,Air Attack,0,1,0,0,1
852,Air On Fire,1,1,0,0,1
4557,Air Strike,0,1,0,0,1
1964,Airtouch,1,1,0,0,1
2675,Ajaaweed,0,1,0,0,1
3941,Al Shamkhah,1,1,0,0,1
2137,Alabama Bound,1,0,0,0,1
2238,Aladdin Sane,0,0,0,0,1
1693,Alan's Argument,1,0,0,0,1
2669,Alandra,1,1,0,0,1
3551,Alasaayil,1,0,0,0,1
1662,Alberobello,1,1,0,0,1
2413,Albertville (GER),0,0,0,0,0
1686,Albie,1,1,0,0,1
2377,Aleph,1,1,0,0,1
2468,Alert the Media,1,1,0,0,1
4528,Alex Love Candy,0,0,0,0,1
2247,Alexacrat,1,0,0,0,0
3059,Alien Season,0,0,1,0,1
2141,Alisio,1,1,0,0,1
2320,Alite,1,1,0,0,1
4500,All About It,1,0,0,0,1
1800,All About Reyana,1,1,1,0,1
414,All Clear,1,0,0,0,1
2890,All Go,1,0,0,0,1
2213,All Over the Map,0,0,0,0,1
3879,All Quality,1,0,0,0,1
1353,All Systems Go,1,1,0,0,1
3742,All the Way Jose,0,0,0,0,0
1782,Alley Oop Johnny,0,1,0,0,1
254,Alley to Calvary,0,1,0,0,1
3795,Allure Fortune,1,1,0,0,1
358,Allured,1,1,0,0,1
1175,Almendro,0,0,0,0,1
140,Almithmaar,1,1,0,0,1
3753,Alms,1,1,0,0,1
2678,Alpha Sixty Six,1,0,0,0,1
2987,Alphabetting,1,1,0,0,1
832,Alphadora,1,1,0,0,1
2088,Alphalfa,1,1,0,0,1
996,Alphardini,1,1,0,0,0
1948,Alphastest,1,1,0,0,1
189,Alrahaal,0,1,0,0,1
2244,Alreadycelebrating,1,1,0,0,1
53,Alright Alright,1,0,0,0,1
2214,Altea (FR),0,0,0,0,1
806,Altesino,0,0,0,0,1
270,Alvernia,1,1,0,0,1
3863,Always Forgiven,0,0,0,0,1
2550,Always Misbehaving,0,0,1,0,1
840,Always Shopping,0,0,0,0,1
1805,Always a Queen,0,1,0,0,1
3294,Alwaysmining,1,1,0,0,1
79,Aly's All Out,0,0,0,0,1
1094,Aly's Courage,1,0,0,0,0
1769,Alydarius,0,0,0,0,1
1617,Am Impazible,0,1,0,0,1
3704,Ama Is a Rock,1,1,0,0,1
3282,Amade (IRE),0,0,0,0,1
1163,Amanda Lane,0,0,1,0,0
1025,Amandasromeo,1,0,0,0,1
4510,Amandrea,0,1,0,0,1
1296,Amarone,1,0,0,0,1
4472,Amazing Audrey,1,1,0,0,1
1681,Amazing Ride,1,1,0,0,1
2110,Amazing Zero,0,0,0,0,1
2681,Amends,0,0,0,0,1
4170,American Butterfly,0,0,0,1,1
703,American Lincoln,0,0,0,0,1
383,American Mandate,1,1,0,0,1
487,American Mission,0,0,0,0,1
327,American Power,1,1,0,0,1
1354,American Rule,1,1,0,0,1
2962,American Song,0,0,0,0,1
3428,American Tattoo (ARG),0,0,0,0,1
2718,American Values,0,0,0,0,1
544,American Wish,1,1,0,0,1
449,Americano,1,1,0,0,0
4517,Americano Girl,0,1,0,0,1
1733,Americanus,1,1,0,0,1
1814,Ameriel,1,1,0,1,1
1087,Amistad,1,0,0,0,1
2305,Amos,0,0,0,0,0
666,Amundson,1,1,0,0,1
467,Analyze With Honor,0,1,0,0,1
1527,Analyze Your Risk,1,1,0,0,1
712,Analyze the Odds,1,1,0,0,1
2297,Analyzethisandthat,1,0,0,0,0
2788,Ancient Brown,0,0,0,0,1
4579,And Seek,0,0,0,0,1
3218,Andarta,0,0,0,0,1
3834,Andesite,0,0,0,0,1
3751,Andi's Kitten,0,0,0,0,1
4624,Andiama,0,1,0,0,1
2503,Andina Del Sur,1,0,0,0,0
1371,Andretta,1,0,0,0,1
2696,Angel At War,1,1,0,0,1
3492,Angels and Us,1,1,0,0,1
144,Angry Moon,0,0,0,0,1
1612,Ankle Monitor,1,1,0,0,1
3273,Annals of Time,0,0,0,0,1
3504,Anne Dupree,1,0,0,0,1
132,Anne's Song,1,1,0,0,1
13,Annette's Humor,1,0,0,0,1
504,Annie Rocks,1,1,0,0,1
1997,Annoula,1,0,0,0,1
1883,Another,0,1,0,0,1
1447,Another Broad,0,0,0,0,0
3111,Another Day of Sun,1,0,0,0,0
3543,Another Miracle,1,0,0,1,0
4212,Anticipating,0,1,0,0,1
2578,Antoinette,1,0,0,0,1
280,Anydayisherday,1,1,0,0,1
1182,Apex Predator,1,0,0,0,1
3128,Apollo's Abraxas,0,0,0,0,0
1747,Appealing Briefs,0,1,0,0,1
2361,Appletini,1,0,0,0,1
1308,Applicator,0,0,0,0,1
2326,Appointment,1,0,0,0,1
971,Appreciate,1,1,0,0,1
2364,Apurate,0,1,0,0,1
1879,Aquaphobia,1,0,0,0,1
3864,Aquariva,0,1,0,0,1
2102,Arabella Bella,0,0,0,0,1
3719,Arch My Boy (GB),0,0,0,0,1
1990,Arch of Troy,0,0,0,0,1
1043,Arch's Smile,0,0,0,0,1
4385,Archidust,0,0,0,0,1
3160,Architect,0,0,0,0,1
320,Archumybaby,0,0,0,0,1
1395,Ardara Belle (FR),0,0,0,0,0
4242,Are You Kitten Me,1,0,0,0,1
606,Arewehavingfunyet,0,0,0,0,0
2887,Argonne,0,1,0,0,1
