City,Country,Latitude,Longitude
Fakenham,United Kingdom,52.829919,0.8477322
Cheltenham,United Kingdom,51.8995685,-2.0711559
Tramore,United States,29.6708575,-98.4920542
Fairyhouse,Ireland,53.49997355,-6.468568859767879
Southwell,United Kingdom,50.53289,-2.4467528
Musselburgh,United Kingdom,55.9421202,-3.0538516
Ellerslie,United States,39.7206417,-78.7741855
Santa Anita,Venezuela,7.9414474,-68.6228585
Sha Tin,China,22.3815527,114.1904697
Catterick,United Kingdom,54.3774754,-1.6314843
Exeter,United States,42.981477,-70.9478343
Flemington,United States,40.5130953,-74.8591333
Meydan,Iran,36.2465,47.3368
Lingfield,United Kingdom,51.1755764,-0.0101733
Chelmsford,United States,42.5968617,-71.3517602
Ayr,United States,47.0410893,-97.4906456
Deauville,France,49.36,0.0752778
Hereford,United States,39.5889939,-76.6633047
Wolverhampton,United Kingdom,52.5847651,-2.127567
Dundalk,United States,39.2574114,-76.5236745
Kempton,United States,40.9355888,-88.237273
Cork,Ireland,51.897077,-8.4654674
Sandown,United States,42.928698,-71.1870053
Ascot,United Kingdom,51.4101286,-0.6680194
Gulfstream Park,United States,29.666745499999998,-95.63405119355407
Wincanton,United Kingdom,51.0560417,-2.4112309
Newcastle,United States,33.192915,-98.7375358
Naas,Ireland,53.2214677,-6.6574093
Plumpton,United Kingdom,54.7273158,-2.7818144
Nakayama,Japan,38.3331256,140.2831151
Kyoto,Japan,35.021041,135.7556075
Chepstow,United Kingdom,51.6409342,-2.6766946
Maronas,Cyprus,34.768283,32.6675593
Taunton,United States,41.9019257,-71.0931485
Happy Valley,United States,45.428679,-122.497174
Ludlow,United States,40.3869787,-88.1275437
Chantilly,United States,38.8941543,-77.4311513
Clonmel,United States,37.5627944,-97.5539369
Thurles,Australia,-24.1635128,142.9241998
Sedgefield,United Kingdom,54.6531916,-1.4496577
Kenilworth,United States,42.0894728,-87.7149295
Warwick,United States,41.256483,-74.3598755
Wetherby,United Kingdom,53.9259798,-1.3776342114695606
Trentham,United Kingdom,52.9676968,-2.1743571
Punchestown,Ireland,53.18667,-6.63611
Kelso,United States,37.1906064,-89.5495329
Cagnes-Sur-Mer,France,43.6612012,7.1513834
Doncaster,United States,38.4979697,-77.2104706
Newbury,United States,42.7959684,-70.8602071
Market Rasen,United Kingdom,53.3879115,-0.3376729
Haydock,United Kingdom,53.4671946,-2.6618064
Aqueduct,Russia,43.6223298,44.4382757
Navan,United States,43.0977516,-92.0626697
Fair Grounds,United States,30.257210999999998,-97.72174782193366
Kokura,Japan,33.8869408,130.8825946
Gowran Park,Ireland,52.615290849999994,-7.071604137482261
Huntingdon,United States,40.4847959,-78.0102813
Jebel Ali,United Arab Emirates,24.9775987,55.0910742
Moonee Valley,Australia,-24.0466707,145.3594308
Uttoxeter,United Kingdom,52.8980321,-1.8649214
Caulfield,Australia,-37.87731945,145.04223402529863
Sam Houston,United States,30.325209,-94.8085373
Fontwell,United Kingdom,50.8552406,-0.6479148
Down Royal,United Kingdom,54.491321,-6.119817268964542
Leicester,United States,42.2459002,-71.9081505
Ffos Las,United Kingdom,51.7321031,-4.2370425
Limerick,Ireland,52.661252,-8.6301239
Leopardstown,Ireland,53.2747217,-6.1927577
Randwick,Australia,-33.945516749999996,151.24403017442353
Oaklawn Park,United States,32.0196536,-102.0970345
St Moritz,Switzerland,46.4978958,9.8392428
Valparaiso Sporting Club,Chile,-33.021672,-71.5350107
Tokyo,Japan,35.6812665,139.757653
Carlisle,United States,38.3120197,-84.027427
Bangor-on-Dee,United Kingdom,53.0028302,-2.9123258
Tampa Bay Downs,United States,27.974457,-82.52297
Te Rapa,New Zealand,-37.7284022,175.2251511
Gavea,Brazil,-22.9814243,-43.2383245
Hobart,United States,42.3714704,-74.6704311
Warwick Farm,Australia,-33.915,150.9344444
Laurel Park,United States,35.3137282,-82.4934535
Otaki,Japan,35.2847921,140.2452603
Rosehill,United States,33.981217,-87.3869563
Auteuil,France,49.3417561,2.0882337
Launceston,Australia,-41.4340813,147.1373496
Morphettville,Australia,-34.9846034,138.5430906
Riyadh,Saudi Arabia,24.638916,46.7160104
