,ages,metric,ncond,age,saddle,decimalPrice,isFav,RPR,TR,OR,father,weight,res_win
1,4yo+,3218.0,10,6.0,7.0,0.4444444444444444,1,96.0,89.0,110.0,Getaway,65,0.0
26,5yo+,3218.0,5,8.0,1.0,0.26666666666666666,1,115.0,33.0,109.0,Beneficial,73,0.0
27,5yo+,3218.0,5,9.0,2.0,0.125,0,108.0,29.0,103.0,Beneficial,68,0.0
43,4yo+,4827.0,6,7.0,13.0,0.07692307692307693,0,95.0,39.0,83.0,Kalanisi,63,1.0
44,4yo+,4827.0,6,8.0,2.0,0.07692307692307693,0,119.0,64.0,108.0,Ask,71,0.0
45,4yo+,4827.0,6,7.0,12.0,0.1111111111111111,0,94.0,37.0,88.0,Flemensfirth,62,0.0
46,4yo+,4827.0,6,9.0,9.0,0.06666666666666668,0,97.0,42.0,94.0,Milan,65,0.0
47,4yo+,4827.0,6,6.0,1.0,0.09090909090909093,0,106.0,52.0,109.0,Martaline,75,0.0
49,4yo+,4827.0,6,6.0,10.0,0.1111111111111111,0,76.0,23.0,92.0,Court Cave,66,0.0
50,4yo+,4827.0,6,9.0,8.0,0.18181818181818185,1,72.0,20.0,94.0,Kayf Tara,68,0.0
58,4yo+,1005.0,0,5.0,4.0,0.047619047619047616,0,91.0,69.0,83.0,Showcasing,58,1.0
60,4yo+,1005.0,0,8.0,2.0,0.3478260869565217,1,86.0,63.0,85.0,Starspangledbanner,59,0.0
61,4yo+,1005.0,0,9.0,1.0,0.18181818181818185,0,83.0,60.0,86.0,Exceed And Excel,60,0.0
62,4yo+,1005.0,0,9.0,5.0,0.05882352941176471,0,76.0,52.0,83.0,Invincible Spirit,58,0.0
63,4yo+,1005.0,0,4.0,7.0,0.2222222222222222,0,68.0,44.0,77.0,Swiss Spirit,56,0.0
64,4yo+,1005.0,0,6.0,3.0,0.125,0,74.0,50.0,84.0,Compton Place,59,0.0
65,5yo+,4122.5,10,9.0,1.0,0.09090909090909093,0,150.0,56.0,140.0,Dylan Thomas,73,1.0
66,5yo+,4122.5,10,7.0,12.0,0.14285714285714285,0,136.0,41.0,125.0,Dubai Destination,68,0.0
67,5yo+,4122.5,10,8.0,11.0,0.10526315789473684,0,135.0,40.0,127.0,Fair Mix,69,0.0
68,5yo+,4122.5,10,6.0,13.0,0.09090909090909093,0,115.0,17.0,124.0,Gold Well,68,0.0
69,5yo+,4122.5,10,9.0,4.0,0.029411764705882363,0,125.0,29.0,137.0,Westerner,70,0.0
87,5yo+,5832.0,10,9.0,4.0,0.2222222222222222,0,113.0,39.0,102.0,September Storm,74,1.0
89,5yo+,5832.0,10,8.0,5.0,0.15384615384615385,0,96.0,24.0,100.0,Beneficial,73,0.0
117,5yo+,5028.0,10,7.0,1.0,0.6363636363636364,1,144.0,77.0,131.0,Mahler,69,1.0
118,5yo+,5028.0,10,8.0,2.0,0.42105263157894735,0,131.0,64.0,132.0,Kalanisi,69,0.0
119,4yo+,1407.0,0,5.0,2.0,0.3333333333333333,0,103.0,74.0,93.0,Mayson,58,1.0
121,4yo+,1407.0,0,6.0,5.0,0.09090909090909093,0,79.0,49.0,79.0,Requinto,53,0.0
122,4yo+,1407.0,0,8.0,4.0,0.07692307692307693,0,60.0,28.0,82.0,Aqlaam,53,0.0
123,4yo+,1407.0,0,5.0,3.0,0.16666666666666666,0,56.0,23.0,84.0,Camacho,56,0.0
124,4yo+,3218.0,6,6.0,5.0,0.18181818181818185,0,124.0,96.0,105.0,Oscar,67,1.0
125,4yo+,3218.0,6,5.0,6.0,0.125,0,102.0,68.0,102.0,Iffraaj,64,0.0
126,4yo+,3218.0,6,6.0,8.0,0.2,1,97.0,63.0,96.0,Kalanisi,62,0.0
127,4yo+,3218.0,6,15.0,4.0,0.05882352941176471,0,83.0,35.0,107.0,Beneficial,67,0.0
132,5yo+,3821.0,10,9.0,1.0,0.18181818181818185,0,134.0,119.0,118.0,Robin Des Pres,73,1.0
133,5yo+,3821.0,10,10.0,4.0,0.1111111111111111,0,127.0,113.0,115.0,Mahler,71,0.0
135,5yo+,3821.0,10,6.0,5.0,0.14285714285714285,0,115.0,98.0,107.0,Sinndar,70,0.0
136,5yo+,3821.0,10,7.0,6.0,0.029411764705882363,0,98.0,81.0,105.0,Arcadio,69,0.0
168,4yo+,3419.0,5,4.0,11.0,0.25,0,140.0,111.0,117.0,Zoffany,65,1.0
169,4yo+,3419.0,5,7.0,1.0,0.6000000000000001,1,129.0,85.0,133.0,Gold Well,73,0.0
171,4yo+,3419.0,5,5.0,2.0,0.2222222222222222,0,108.0,71.0,122.0,Jukebox Jury,73,0.0
180,5yo+,3821.0,5,8.0,3.0,0.2857142857142857,1,115.0,58.0,107.0,Schiaparelli,72,1.0
183,5yo+,3821.0,5,9.0,5.0,0.18181818181818185,0,96.0,37.0,99.0,High Chaparral,68,0.0
186,5yo+,4122.5,5,7.0,5.0,0.2,0,151.0,126.0,150.0,Midnight Legend,69,1.0
187,5yo+,4122.5,5,6.0,6.0,0.047619047619047616,0,148.0,124.0,130.0,Brian Boru,69,0.0
